HAY2201,15/01/2017,35,67.38,16/01/2017 07:44:24,F
HAY2201,15/01/2017,36,67.67,16/01/2017 07:44:24,F
HAY2201,15/01/2017,37,67.25,16/01/2017 07:44:24,F
HAY2201,15/01/2017,38,64.69,16/01/2017 07:44:24,F
HAY2201,15/01/2017,39,67.32,16/01/2017 07:44:24,F
HAY2201,15/01/2017,40,67.77,16/01/2017 07:44:24,F
HAY2201,15/01/2017,41,64.97,16/01/2017 07:44:24,F
HAY2201,15/01/2017,42,67.57,16/01/2017 07:44:24,F
HAY2201,15/01/2017,43,66.6,16/01/2017 07:44:24,F
HAY2201,15/01/2017,44,59.31,16/01/2017 07:44:24,F
HAY2201,15/01/2017,45,57.48,16/01/2017 07:44:24,F
HAY2201,15/01/2017,46,49.29,16/01/2017 07:44:24,F
HAY2201,15/01/2017,47,49.13,16/01/2017 07:44:24,F
HAY2201,15/01/2017,48,40.19,16/01/2017 07:44:24,F
HAY2201,04/01/2017,1,26.41,05/01/2017 07:41:11,F
HAY2201,04/01/2017,2,15.97,05/01/2017 07:41:11,F
HAY2201,04/01/2017,3,.52,05/01/2017 07:41:11,F
HAY2201,04/01/2017,4,.49,05/01/2017 07:41:11,F
HAY2201,04/01/2017,5,.49,05/01/2017 07:41:11,F
HAY2201,04/01/2017,6,.01,05/01/2017 07:41:11,F
HAY2201,04/01/2017,7,5.25,05/01/2017 07:41:11,F
HAY2201,04/01/2017,8,10.56,05/01/2017 07:41:11,F
HAY2201,04/01/2017,9,10.65,05/01/2017 07:41:11,F
HAY2201,04/01/2017,10,13.36,05/01/2017 07:41:11,F
HAY2201,04/01/2017,11,19.92,05/01/2017 07:41:11,F
HAY2201,04/01/2017,12,15.87,05/01/2017 07:41:11,F
HAY2201,04/01/2017,13,10.35,05/01/2017 07:41:11,F
HAY2201,04/01/2017,14,10.61,05/01/2017 07:41:11,F
HAY2201,04/01/2017,15,.48,05/01/2017 07:41:11,F
HAY2201,04/01/2017,16,17.26,05/01/2017 07:41:11,F
HAY2201,04/01/2017,17,25.57,05/01/2017 07:41:11,F
HAY2201,04/01/2017,18,35.9,05/01/2017 07:41:11,F
HAY2201,04/01/2017,19,39.91,05/01/2017 07:41:11,F
HAY2201,04/01/2017,20,39.21,05/01/2017 07:41:11,F
HAY2201,04/01/2017,21,40.38,05/01/2017 07:41:11,F
HAY2201,04/01/2017,22,38.07,05/01/2017 07:41:11,F
HAY2201,04/01/2017,23,37.88,05/01/2017 07:41:11,F
HAY2201,04/01/2017,24,37.27,05/01/2017 07:41:11,F
HAY2201,04/01/2017,25,37.17,05/01/2017 07:41:11,F
HAY2201,04/01/2017,26,26.1,05/01/2017 07:41:11,F
HAY2201,04/01/2017,27,35.27,05/01/2017 07:41:11,F
HAY2201,04/01/2017,28,36.49,05/01/2017 07:41:11,F
HAY2201,04/01/2017,29,35.51,05/01/2017 07:41:11,F
HAY2201,04/01/2017,30,36.24,05/01/2017 07:41:11,F
HAY2201,04/01/2017,31,35.45,05/01/2017 07:41:11,F
HAY2201,04/01/2017,32,25.42,05/01/2017 07:41:11,F
HAY2201,04/01/2017,33,25.45,05/01/2017 07:41:11,F
HAY2201,04/01/2017,34,25.82,05/01/2017 07:41:11,F
HAY2201,04/01/2017,35,25.88,05/01/2017 07:41:11,F
HAY2201,04/01/2017,36,27.29,05/01/2017 07:41:11,F
HAY2201,04/01/2017,37,34.16,05/01/2017 07:41:11,F
HAY2201,04/01/2017,38,34.46,05/01/2017 07:41:11,F
HAY2201,04/01/2017,39,34.3,05/01/2017 07:41:11,F
HAY2201,04/01/2017,40,40.39,05/01/2017 07:41:11,F
HAY2201,04/01/2017,41,37.61,05/01/2017 07:41:11,F
HAY2201,04/01/2017,42,40.62,05/01/2017 07:41:11,F
HAY2201,04/01/2017,43,45.37,05/01/2017 07:41:11,F
HAY2201,04/01/2017,44,42.81,05/01/2017 07:41:11,F
HAY2201,04/01/2017,45,59.06,05/01/2017 07:41:11,F
HAY2201,04/01/2017,46,55.89,05/01/2017 07:41:11,F
HAY2201,04/01/2017,47,55.9,05/01/2017 07:41:11,F
HAY2201,04/01/2017,48,56.04,05/01/2017 07:41:11,F
HAY2201,05/01/2017,1,47.99,06/01/2017 07:42:45,F
HAY2201,05/01/2017,2,46.93,06/01/2017 07:42:45,F
HAY2201,05/01/2017,3,43.25,06/01/2017 07:42:45,F
HAY2201,05/01/2017,4,39.75,06/01/2017 07:42:45,F
HAY2201,05/01/2017,5,35.74,06/01/2017 07:42:45,F
